ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,crime_rate,lag_1,lag_7
13832711,JJ251118,5/12/2025 0:19,010XX W BELMONT AVE,460,BATTERY,SIMPLE,TAVERN / LIQUOR STORE,False,False,1924,19,44,6,08B,1168964.0,1921423.0,2025,5/20/2025 16:02,41.93990585,-87.65441005,"(41.939905846, -87.654410045)",38.0,4449.0,57.0,680.0,25.0,22.0,5.0,31.0,16.666666666666668,25.0,31.666666666666668
13832805,JJ251129,5/12/2025 0:20,091XX S ST LAWRENCE AVE,930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,633,6,8,44,7,1181834.0,1844687.0,2025,5/20/2025 16:02,41.72904763,-87.60948596,"(41.729047632, -87.609485958)",31.0,21546.0,40.0,430.0,43.0,61.0,20.0,248.0,28.333333333333336,13.333333333333334,18.333333333333336
13832779,JJ251148,5/12/2025 0:20,065XX S WINCHESTER AVE,3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,RESIDENCE,True,False,726,7,16,67,24,1164482.0,1861276.0,2025,5/20/2025 16:02,41.77495309,-87.6725839,"(41.774953087, -87.672583904)",44.0,22257.0,65.0,281.0,3.0,23.0,17.0,205.0,25.0,21.666666666666668,15.0
13832782,JJ251122,5/12/2025 0:20,065XX S WINCHESTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,726,7,16,67,14,1164482.0,1861276.0,2025,5/20/2025 16:02,41.77495309,-87.6725839,"(41.774953087, -87.672583904)",44.0,22257.0,65.0,281.0,3.0,23.0,17.0,205.0,25.0,21.666666666666668,15.0
13832803,JJ251153,5/12/2025 0:26,037XX W 81ST PL,560,ASSAULT,SIMPLE,RESIDENCE,False,True,834,8,18,70,08A,1152778.0,1850282.0,2025,5/20/2025 16:02,41.74502251,-87.71577884,"(41.745022506, -87.715778836)",6.0,4300.0,69.0,199.0,30.0,8.0,13.0,232.0,13.333333333333334,1.6666666666666667,10.0
13832787,JJ251133,5/12/2025 0:27,019XX S HARDING AVE,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,True,False,1014,10,24,29,24,1150367.0,1890130.0,2025,5/20/2025 16:02,41.8544185,-87.72357748,"(41.854418495, -87.723577477)",36.0,21569.0,30.0,752.0,14.0,57.0,21.0,156.0,23.333333333333336,31.666666666666668,38.333333333333336
13833383,JJ252083,5/12/2025 0:29,042XX N KILDARE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1722,17,39,16,14,1146837.0,1927819.0,2025,5/20/2025 16:02,41.95790908,-87.73557016,"(41.957909084, -87.735570155)",25.0,22618.0,16.0,363.0,38.0,21.0,1.0,11.0,13.333333333333334,10.0,5.0
13832823,JJ251141,5/12/2025 0:30,069XX S UNION AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,732,7,6,68,08B,1172834.0,1858867.0,2025,5/20/2025 16:02,41.76816234,-87.64203768,"(41.768162337, -87.642037679)",31.0,21559.0,66.0,479.0,32.0,11.0,17.0,214.0,20.0,6.666666666666667,23.333333333333336
13832797,JJ251147,5/12/2025 0:30,065XX S WINCHESTER AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,False,726,7,16,67,08B,1164482.0,1861276.0,2025,5/20/2025 16:02,41.77495309,-87.6725839,"(41.774953087, -87.672583904)",44.0,22257.0,65.0,281.0,3.0,23.0,17.0,205.0,25.0,21.666666666666668,15.0
13832893,JJ251267,5/12/2025 0:30,071XX W 63RD PL,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,812,8,13,64,26,1130017.0,1861591.0,2025,5/20/2025 16:02,41.77647469,-87.79892311,"(41.776474693, -87.798923111)",35.0,22268.0,62.0,336.0,6.0,7.0,13.0,272.0,5.0,8.333333333333334,3.3333333333333335
13833380,JJ252068,5/12/2025 0:30,077XX S ALBANY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,835,8,18,70,7,1157052.0,1853174.0,2025,5/20/2025 16:02,41.75287338,-87.70004009,"(41.75287338, -87.700040094)",6.0,4300.0,69.0,498.0,30.0,8.0,13.0,226.0,13.333333333333334,1.6666666666666667,10.0
13833001,JJ251541,5/12/2025 0:30,083XX S PEORIA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,True,613,6,17,71,14,1171750.0,1849449.0,2025,5/20/2025 16:02,41.74234198,-87.64628673,"(41.74234198, -87.646286726)",18.0,21554.0,70.0,530.0,13.0,59.0,20.0,233.0,33.333333333333336,18.333333333333336,28.333333333333336
13832769,JJ251168,5/12/2025 0:31,008XX W EASTWOOD AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,CHA HALLWAY / STAIRWELL / ELEVATOR,False,True,1914,19,46,3,20,1169806.0,1931096.0,2025,5/20/2025 16:02,41.96643056,-87.65103242,"(41.966430564, -87.651032417)",37.0,22616.0,31.0,19.0,39.0,15.0,5.0,4.0,13.333333333333334,13.333333333333334,23.333333333333336
13832776,JJ251190,5/12/2025 0:31,049XX W DIVERSEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2521,25,31,19,14,1142871.0,1918161.0,2025,5/20/2025 16:02,41.93148163,-87.75039218,"(41.931481628, -87.750392184)",7.0,22615.0,19.0,355.0,17.0,2.0,6.0,176.0,21.666666666666668,30.0,16.666666666666668
13832739,JJ251131,5/12/2025 0:32,020XX E 72ND ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,True,False,333,3,5,43,15,1190965.0,1857627.0,2025,5/20/2025 16:02,41.76434057,-87.57561995,"(41.764340571, -87.575619952)",32.0,22538.0,39.0,453.0,33.0,24.0,18.0,89.0,48.333333333333336,25.0,38.333333333333336
13832757,JJ251132,5/12/2025 0:34,080XX S WOLCOTT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,611,6,17,71,08B,1165085.0,1851399.0,2025,5/20/2025 16:02,41.74783649,-87.67065232,"(41.747836494, -87.670652316)",6.0,21554.0,70.0,574.0,31.0,59.0,20.0,231.0,33.333333333333336,18.333333333333336,28.333333333333336
13832730,JJ251128,5/12/2025 0:37,031XX W JACKSON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1124,11,28,27,08B,1155279.0,1898515.0,2025,5/20/2025 16:02,41.8773307,-87.70532317,"(41.877330703, -87.705323174)",11.0,21184.0,28.0,737.0,23.0,28.0,16.0,123.0,10.0,23.333333333333336,21.666666666666668
13833419,JJ251155,5/12/2025 0:40,060XX S DR MARTIN LUTHER KING JR DR,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,False,313,3,20,42,04A,1179956.0,1865076.0,2025,5/20/2025 16:02,41.78504041,-87.61574247,"(41.785040409, -87.615742467)",53.0,22260.0,9.0,331.0,4.0,60.0,18.0,275.0,30.0,6.666666666666667,20.0
13832855,JJ251139,5/12/2025 0:42,067XX N SHERIDAN RD,041A,BATTERY,AGGRAVATED - HANDGUN,RESIDENCE - PORCH / HALLWAY,False,False,2432,24,49,1,04B,1167031.0,1944858.0,2025,5/20/2025 16:02,42.00425404,-87.66083827,"(42.004254037, -87.660838271)",3.0,21853.0,10.0,267.0,5.0,9.0,11.0,41.0,10.0,5.0,16.666666666666668
13832877,JJ251237,5/12/2025 0:42,067XX N SHERIDAN RD,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,True,False,2432,24,49,1,18,1167031.0,1944858.0,2025,5/20/2025 16:02,42.00425404,-87.66083827,"(42.004254037, -87.660838271)",3.0,21853.0,10.0,267.0,5.0,9.0,11.0,41.0,10.0,5.0,16.666666666666668
13837117,JJ251157,5/12/2025 0:45,066XX S RICHMOND ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,831,8,15,66,26,1157857.0,1860462.0,2025,5/20/2025 16:02,41.77285647,-87.69689246,"(41.772856465, -87.69689246)",44.0,21867.0,64.0,382.0,31.0,58.0,13.0,208.0,28.333333333333336,18.333333333333336,23.333333333333336
13832725,JJ251142,5/12/2025 0:59,0000X W 87TH ST,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,False,False,622,6,21,44,26,1177666.0,1847291.0,2025,5/20/2025 16:02,41.73628851,-87.62467572,"(41.736288505, -87.624675715)",18.0,21554.0,40.0,1.0,13.0,59.0,20.0,236.0,28.333333333333336,13.333333333333334,18.333333333333336
